Read,קרא
Roles can be set for users from their User page.,ניתן להגדיר תפקידים עבור משתמשים בדף המשתמש שלהם.
Clicked,נלחץ
Module Def,הגדרת מודול
Create and Send Newsletters,צור ושלח ניוזלטרים
hand-down,יד כלפי מטה
Users with role {0}:,משתמשים בעלי התפקיד {0}:
Value cannot be changed for {0},לא ניתן לשנות ערך עבור {0}
Last Active,פעילות אחרונה
Upcoming Events,אירועים קרובים
You don't have the permissions to access this document,אין לך הרשאות גישה למסמך זה
Enable Report,אפשר דוח
Both login and password required,נדרש להתחבר ולהזין סיסמה
Search or type a command,חפש או הקלד פקודה
Attachment,קובץ מצורף
Sunday,יום ראשון
Syntax error in template,שגיאת בתחביר התבנית
Chat messages and other notifications.,הודעות צ'אט והתראות נוספות.
Last Name,שם משפחה
Save,שמור
Bulk Update,עדכון גורף
Addresses,כתובות
Reason,סיבה
Middle Name,שם אמצעי
"Another {0} with name {1} exists, select another name","{0} נוסף עם השם {1} קיים במערכת, בחר שם אחר"
Reset Permissions for {0}?,איפוס הרשאות עבור {0}?
zoom-out,הקטן
View this in your browser,הצג זאת בדפדפן שלך
Print Style,סגנון הדפסה
Long Text,טקסט ארוך
Friendly Title,כותרת ידידותית
Not allowed to Import,לא ניתן לייבא
Posts,פוסטים
Fonts,גופנים
Events In Today's Calendar,אירועים בלוח השנה היום
Set New Password,הגדר סיסמה חדשה
flag,דגל
Timeline Name,שם ציר זמן
Settings for the About Us Page,הגדרות עבור העמוד מי אנחנו
Not Allowed,לא מאושר
Maintenance Manager,מנהל אחזקה
User Permissions,הרשאות משתמש
"Must be of type ""Attach Image""",חייב להיות מסוג 'צרף תמונה'
Did not cancel,לא בוטל
Report {0},דוח {0}
Yearly,שנתי
Please Update SMS Settings,אנא עדכן את הגדרות ה-SMS
HTML,HTML
Ignore XSS Filter,התעלם ממסנן ה-XSS
remove-sign,סימן הסרה
The resource you are looking for is not available,המשאב שאתה מחפש אינו זמין
Image field must be a valid fieldname,שדה תמונה חייב להיות שם שדה תקף
Represents a User in the system.,מייצג משתמש במערכת.
Allow Rename,אפשר שינוי שם
Saturday,יום שבת
Sorry! You cannot delete auto-generated comments,מצטערים! אינך יכול למחוק הערות שנוצרו באופן אוטומטי
Passive,פסיבי
You don't have permission to access this file,אין לך הרשאה לגשת לקובץ זה
Back to Login,חזרה להתחברות
volume-down,הנמכת עוצמת הקול
Data Import Template,תבנית ייבוא נתונים
{0} mentioned you in a comment in {1},{0} הזכיר אותך בהערה ב {1}
"""Company History""",'תולדות החברה'
Restore to default settings?,לשחזר להגדרות ברירת המחדל?
Error,שגיאה
values separated by commas,ערכים מופרדים בפסיקים
Insert After,הכנס אחרי
Edit,ערוך
Loading...,טוען...
{0} Tree,{0} עץ
"To format columns, give column labels in the query.","על מנת לעצב עמודות, תן תוויות עמודה בשאילתה."
Workflow Action Master,אשף פעולות זרימת העבודה
A symbol for this currency. For e.g. $,סימן של מטבע זה. לדוגמה: $$
Select the label after which you want to insert new field.,בחר את התווית שאחריה ברצונך להוסיף שדה חדש.
Set Only Once,הגדר פעם אחת
Hub,רכזת
Updated To New Version,עודכן לגרסה חדשה
Options,אפשרויות
Address Title is mandatory.,יש להזין כותרת כתובת.
Series {0} already used in {1},סדרה {0} כבר בשימוש ב-{1}
{0} months ago,לפני {0} חודשים
Custom Field,שדה מותאם אישית
Center,מרכז
DESC,תיאור
Accounts User,חשבונות משתמש
DocShare,שיתוף מסמכים
Set numbering series for transactions.,הגדר מספור לסדרות לעסקאות.
App not found,היישום לא נמצא
Redis cache server not running. Please contact Administrator / Tech support,המטמון של שרת ה-Redis לא מצליח חרוץ. אנא צור קשר עם המנהל / תמיכה טכנית
Language,שפה
"Expression, Optional","ביטוי, אופציונאלי"
"For example: If you want to include the document ID, use {0}","לדוגמה: אם ברצונך לכלול מזהה המסמך, השתמש ב-{0}"
Not Like,שונה מ
Assignment closed by {0},המשימה נסגרה על ידי {0}
Compact Item Print,מדפסת פריטים קומפקטיים
volume-off,קול מושתק
Color,צבע
Email Address,כתובת דואר אלקטרוני
"Sub-currency. For e.g. ""Cent""",תת מטבע. לדוגמה 'סנט'
Sorry! I could not find what you were looking for.,מצטערים! לא הצלחנו למצוא את מה שחיפשת.
Success Message,ההודעה נשלחה בהצלחה
DocType can only be renamed by Administrator,ניתן לשנות את שם ה-DOCTYPE רק על ידי מנהל
Fieldname which will be the DocType for this link field.,שם השדה אשר יהיה DOCTYPE לשדה קישור זה.
Invalid Login Token,מפתח התחברות לא חוקי
Table updated,הטבלה התעדכנה
Add custom javascript to forms.,הוסף JavaScript מותאם אישית לטפסים.
Customize Form,טופס מותאם אישית
Select Print Format to Edit,בחר פורמט הדפסה כדי לערוך אותו
Country Name,שם המדינה
Could not identify {0},לא ניתן לזהות {0}
Role and Level,תפקיד ורמה
A log of request errors,יומן של שגיאות בקשה
Email Queue records.,רשומות תור של הדואר האלקטרוני.
click here,לחץ כאן
Postal,מיקוד
Runtime,זמן ריצה
Is Home Folder,האם תיקיית הבית
Field,שדה
folder-open,פתיחת תיקייה
Select Attachments,בחר קבצים מצורפים
Address Line 1,שורת כתובת 1
Max Attachments,מספר קבצים מצורפים מקסימלי
You can use Customize Form to set levels on fields.,תוכל להשתמש בטופס מותאם אישית כדי להגדיר רמות בשדות.
Add Subscribers,הוסף מנויים
Verdana,Verdana
Sales Manager,מנהל מכירות
Currently Viewing,צופים כרגע
Folder {0} is not empty,תיקייה {0} אינה ריקה
Comment By,תגובה מ
No further records,אין רשומות נוספות
Allow Dropbox Access,אפשר גישה ל-Dropbox
Add your own translations,הוספת תרגומים משלך
Delayed,מושהה
Liked By,סומן כ-אהבתי על ידי
Cannot edit standard fields,לא ניתן לערוך שדות סטנדרטיים
UPPER CASE,אותיות גדולות
Enable Scheduled Jobs,אפשר משימות מתוכננות
Only Allow Edit For,אפשר עריכה רק ל
Missing Values Required,נדרשים ערכים חסרים
Submit this document to confirm,שלח את המסמך הזה כדי לאשר
Let's prepare the system for first use.,בואו נכין את המערכת לשימוש ראשון.
Import Email From,ייבא דואר אלקטרוני מ
Share {0} with,שתף {0} עם
Property Setter,מגדיר מאפיין
Only Administrator can delete Email Queue,רק מנהל יכול למחוק תור בדואר אלקטרוני
pause,עצור
Role,תפקיד
Image,תמונה
{0} is currently viewing this document,{0} כרגע צופים במסמך זה
Import Log,ייבא יומן
Name of {0} cannot be {1},השם של {0} אינו יכול להיות {1}
Notes:,הערות:
{0} shared this document with {1},{0} שיתף מסמך זה עם {1}
Attachment Limit (MB),מגבלת קבצים מצורפים (MB)
Reference Document Type,סוג מסמך ההתייחסות
Select {0},בחר {0}
Rename,שנה שם
Fieldname {0} cannot have special characters like {1},שם השדה {0} לא יכול להכיל תווים מיוחדים כמו {1}
End Time,שעת סיום
Set Banner from Image,הגדר באנר מתמונה
plane,מטוס
Email Ids,מזהי דואר אלקטרוני
Is Child Table,האם האם תת-טבלה
Smallest circulating fraction unit (coin). For e.g. 1 cent for USD and it should be entered as 0.01,היחידה הקטנה ביותר במחזור (מטבע). לדוגמא סנט אחד לדולר ויש להזין אותו כ-0.01
Valid email and name required,יש להזין דואר אלקטרוני תקף ושם
1 Currency = [?] Fraction For e.g. 1 USD = 100 Cent,"מטבע אחד = [?] חלקים. לדוגמה, דולר אחד = 100 סנט"
Running,רץ
Heading,כותרת
Float Precision,רמת דיוק לנקודה צפה
Not Seen,לא נראה
Confirm Your Email,אשר את הדואר האלקטרוני שלך
Banner is above the Top Menu Bar.,שים את הבאנר מעל לשורת התפריטים העליונה.
Limit,הגבל
Service,שירות
Avoid sequences like abc or 6543 as they are easy to guess,הימנע מרצפים כמו abc או 6543 כיוון שהם קלים לניחוש
Document Name,שם המסמך
Closed,סגור
Add Signature,הוסף את החתימה
Login Before,התחבר לפני
qrcode,QRCode
{0} Report,{0} דוח
Website Theme Image Link,קישור לתמונת נושא אתר
Validity,תוקף
Is Single,הם בודד
Print Format Builder,בונה פורמט ההדפסה
Confirmed,אושר
Report of all document shares,דוח של כל שיתופי המסמך
Notes,הערות
Company History,תולדות החברה
Country,מדינה
Multiple root nodes not allowed.,ישויות שורש מרובות אסורות.
Administrator,מנהל
Filter,סנן
Could not find {0} in {1},לא ניתן למצוא את {0} ב {1}
Text Color,צבע הטקסט
{0} weeks ago,לפני {0} שבועות
Enter url parameter for message,הזן פרמטר url להודעה
Pending,ממתין ל
Blogger,בלוגר
Exception Type,סוג החריגה
Calendar,לוח שנה
Menu,תפריט
Footer Item,פריט בכותרת תחתון
